H,V
000,004
000,005
000,006
000,007
000,008
000,009
000,010
001,000
001,001
001,002
001,003
001,004
001,005
001,006
001,007
001,008
001,009
001,010
001,011
001,012
001,013
002,000
002,001
002,002
002,003
002,004
002,005
002,006
002,007
002,008
002,009
002,010
002,011
002,012
002,013
002,014
003,000
003,001
003,002
003,003
003,004
003,005
003,006
003,007
003,008
003,009
003,010
003,011
003,012
003,013
003,014
